block;num_tones;prob;style;running_no;file_name;difficulty
8;4;90;B;25;block_08_tc4_p90_styleB_25;easy
9;5;60;A;1;block_09_tc5_p60_styleA_01;medium
9;5;60;A;2;block_09_tc5_p60_styleA_02;medium
9;5;60;A;3;block_09_tc5_p60_styleA_03;medium
9;5;60;A;4;block_09_tc5_p60_styleA_04;medium
9;5;60;A;5;block_09_tc5_p60_styleA_05;medium
9;5;60;A;6;block_09_tc5_p60_styleA_06;medium
9;5;60;A;7;block_09_tc5_p60_styleA_07;medium
9;5;60;A;8;block_09_tc5_p60_styleA_08;medium
9;5;60;A;9;block_09_tc5_p60_styleA_09;medium
9;5;60;A;10;block_09_tc5_p60_styleA_10;medium
9;5;60;A;11;block_09_tc5_p60_styleA_11;medium
9;5;60;A;12;block_09_tc5_p60_styleA_12;medium
9;5;60;A;13;block_09_tc5_p60_styleA_13;medium
9;5;60;A;14;block_09_tc5_p60_styleA_14;medium
9;5;60;A;15;block_09_tc5_p60_styleA_15;medium
9;5;60;A;16;block_09_tc5_p60_styleA_16;medium
9;5;60;A;17;block_09_tc5_p60_styleA_17;medium
9;5;60;A;18;block_09_tc5_p60_styleA_18;medium
9;5;60;A;19;block_09_tc5_p60_styleA_19;medium
9;5;60;A;20;block_09_tc5_p60_styleA_20;medium
9;5;60;A;21;block_09_tc5_p60_styleA_21;medium
9;5;60;A;22;block_09_tc5_p60_styleA_22;medium
9;5;60;A;23;block_09_tc5_p60_styleA_23;medium
9;5;60;A;24;block_09_tc5_p60_styleA_24;medium
9;5;60;A;25;block_09_tc5_p60_styleA_25;medium
9;5;60;B;1;block_09_tc5_p60_styleB_01;medium
9;5;60;B;2;block_09_tc5_p60_styleB_02;medium
9;5;60;B;3;block_09_tc5_p60_styleB_03;medium
9;5;60;B;4;block_09_tc5_p60_styleB_04;medium
9;5;60;B;5;block_09_tc5_p60_styleB_05;medium
9;5;60;B;6;block_09_tc5_p60_styleB_06;medium
9;5;60;B;7;block_09_tc5_p60_styleB_07;medium
